day,id,k,k_label,k_icon,t_start,t_end,language,image,orga,fr_location,fr_title,fr_description,en_title,en_description,en_location
mercredi 8,1,meet-up,meet-up,fa-glass-cheers,2020-01-08T18:30:00+02:00,2020-01-08T23:00:00+02:00,FR/EN,,Paris P2P,P2P Meet-up Zone,Talks + FFA,,Talks + FFA,,P2P Meet-up Zone
,2,talk,talk,fa-presentation,2020-01-08T19:00:00+02:00,2020-01-08T19:30:00+02:00,FR,,Weedcoder,P2P Meet-up,Histoire du mouvement Cypherpunk par @weedcoder,Histoire du mouvement Cypherpunk par @weedcoder    ,"A History of the CypherPunk Movement, by @weedcoder",Histoire du mouvement Cypherpunk par @weedcoder    ,P2P Meet-up
,3,talk,talk,fa-presentation,2020-01-08T19:30:00+02:00,2020-01-08T20:00:00+02:00,EN,,Liliana Carillo - P2P Foundation,Conférence,P2P and the Commons,,P2P and the Commons,,Conférence
,4,talk,talk,fa-presentation,2020-01-08T20:00:00+02:00,2020-01-08T20:45:00+02:00,FR,,Mathilde Imer - Gilets Citoyens & Démocratie Ouverte,P2P Meet-up,Convention Citoyenne pour le Climat : on vous dit tout sur la première assemblée citoyenne de France,"Pour la première fois, une expérimentation de démocratie participative a lieu en France au niveau national. Mathilde Imer, membre du comité de gouvernance de la Convention Citoyenne pour le Climat au nom des Gilets Citoyens et Démocratie Ouverte, vient nous raconter comment cette histoire se construit, au moment même où l'affrontement et la défiance entre les institutions du pouvoir et le peuple atteignent un paroxysme.",Citizenship Convention for the Climat: we'll tell you everything about the first direct democracy experiment in France,"Pour la première fois, une expérimentation de démocratie participative a lieu en France au niveau national. Mathilde Imer, membre du comité de gouvernance de la Convention Citoyenne pour le Climat au nom des Gilets Citoyens et Démocratie Ouverte, vient nous raconter comment cette histoire se construit, au moment même où l'affrontement et la défiance entre les institutions du pouvoir et le peuple atteignent un paroxysme.",P2P Meet-up
,5,party,DJ set,fa-music,2020-01-08T20:00:00+02:00,2020-01-08T00:30:00+02:00,,,La Cuniculaire,Avion,DJ Set Hiphop/Soul/Funk,,DJ Set Hiphop/Soul/Funk,,Avion
,6,stand,stand,fa-flag,2020-01-08T18:00:00+02:00,2020-01-08T22:00:00+02:00,FR,,Artiste Fasto,Village,P2P Painting - Experiment Peer-painting with friends,"Fresques participatives et ateliers dessins/peintures avec l'artiste Fasto, accessibles aux enfants comme aux adultes

",P2P Painting - Experiment Peer-painting with friends,Partipative & peer-painting with Fasto - children and adults equally welcomed!,Village
,7,stand,stand,fa-flag,2020-01-08T20:00:00+02:00,2020-01-08T23:00:00+02:00,FR,,Les Hackeuses,Village (entre la boutique de plante et la tête de l’avion),Atelier d'initiation à la cryptomonnaie pour les femmes animé par @mamiecrypto,@LesHackeuses et leurs complices soutiennent la volonté des femmes à prendre leur place dans l’écosystème blockchain. La stratégie est de rentrer intelligemment dans l’écosystème pour le faire évoluer de l’intérieur (d’où le nom : @LesHackeuses).,"Introduction to cryptocurrency for women, by @mamiecrypto",@LesHackeuses and firends support women in their effort to play a bigger part within the blockchain ecosystem.,Village
jeudi 9,8,meet-up,meet-up,fa-glass-cheers,2020-01-09T18:00:00+02:00,2020-01-09T22:00:00+02:00,FR,,Attilax et Paulart - Toile Francilienne,P2P Meet-up,Présentation grand public de la Monnaie Libre,"Attilax & Paulart de la Toile Francilienne vous proposent une présentation générale mais complète sur le changement de paradigme qu'est la Monnaie Libre. D""où sort-elle ? Comment est-elle née et pourquoi ? Quel est son fonctionnement et qu'est-ce qui la rend si défférentes de toutes les monnaies existantes jusqu'alors ? Réponse ce soir au Ground Control !""",Mainstream Introduction to Libre Money (Monnaie Libre),"Attilax & Paulart from Toile Francilienne will  present the ""Monnaie Libre"" (""Libre Money"") project and the underlying paradigm shift it entails. They will answer to questions such as; Where does Libre Money comes from? Who created it and why? How does it work and what makes it so different from other moneys up to now?",P2P Meet-up
,9,workshop,workshop,fa-laptop-code,TBA,TBA,FR,,Fred Zicmama,P2P Meet-up,Fork me I am Famous - Monnaie Libre : Local Global Banking System,"Ḡ1sms+ :: Local Global Banking System.
La ""Neo Banque Libre"" où le banquier est un vrai ami ! Il ne peut plus te faire le coup du joaillier... Et tu produis la monnaie avec lui !!
Démo et autoconstruction des terminaux G1sms, G1Dab, G1Tx, ... (+ ceux qu'on fabrique en ce moment autour du G1Bot multicanal)
Présentation du G1Tag Conteneur de G1 (ZEN) dans IPFS.
Utilisation au travers du G1Bot (multicanal) et de son API interne.
+ Un système cashless basé sur G1sms qui peut permettre un usage de la G1 pendant tout le festival
+ CopyLaRadio, usage du G1Tag avec des fichiers de musique... Futur code source de la SACEM 2.0?","Fork me, I am famous, a workshop by Fred Zicmama","Ḡ1sms+ :: Local Global Banking System.
The free neobank in which bankers are true friends... you actually create money with them! We will demo G1sms, G1Dab, G1Tx terminals, we will show G1Tag, G1 (ZEN) container on IPFS, G1Bot (multichanel) and its internal API, a cashless system based on G1smsn etc.",P2P Meet-up
,10,talk,talk,fa-presentation,2020-01-09T18:00:00+02:00,2020-01-09T19:00:00+02:00,FR,,Pierre Boc - Berty.tech,Conférence,Les mentalistes lisent-ils dans nos pensées ? (Social Engineering),"Comment est-t-il possible de nous influencer et de modifier nos perceptions ? Durant une conférence-spectacle, Pierre Boc, mentaliste depuis plus de 10 ans, titulaire d'un doctorat en biologie, et également consultant pour des sociétés technologiques, il vous expliquera les outils du mentalisme et comment s’en servir dans la vie de tous les jours. Si la première des failles informatiques se situe souvent entre la chaise et le clavier, alors le _Social Engineering_ est un domaine auquel il est toujours intéressant d'être sensibilisé.",Social Engineering: Can Mentalist Really Read Our Thoughts?,"Is it possible to influence and change our perceptions? Over his talk/show, Pierre Boc, mentalist, Ph.D in biology, and consultant for tech firms, will unveil the techniques used by mentalists and how to apply them to daily life. Since the major IT vulnerability is often located ""between the chair and the keyboard"", social engineering is definitely an area we should all learn more about.",Conférence
