day,id,k,k_label,k_icon,t_start,t_end,language,orga,fr_title,fr_description,fr_location,en_title,en_description,en_location
mercredi 8,1,stand,stand,fa-flag,2020-01-08T18:00:00+02:00,2020-01-08T22:00:00+02:00,FR,Artiste Fasto,P2P Painting - Experiment Peer-painting with friends,"Fresques participatives et ateliers dessins/peintures avec l'artiste Fasto, accessibles aux enfants comme aux adultes

",P2P Art Zone,,,
,2,meet-up,meet-up,fa-glass-cheers,2020-01-08T18:30:00+02:00,2020-01-08T23:00:00+02:00,FR/ENG,Paris P2P,Talks + FFA,,P2P Meet-up Zone,,,
,3,talk,talk,fa-presentation,2020-01-08T19:00:00+02:00,2020-01-08T19:30:00+02:00,FR,@weedcoder,Histoire du mouvement Cypherpunk par @weedcoder,Histoire du mouvement Cypherpunk par @weedcoder    ,P2P Meet-up Zone,,,
,4,talk,talk,fa-presentation,2020-01-08T20:00:00+02:00,2020-01-08T20:30:00+02:00,FR,X-Network,TBA,,P2P Meet-up Zone,,,
,5,stand,stand,fa-flag,2020-01-08T20:00:00+02:00,2020-01-08T23:00:00+02:00,FR,Les Hackeuses,Atelier d'initiation à la cryptomonnaie pour les femmes animé par @mamiecrypto,@LesHackeuses et leurs complices soutiennent la volonté des femmes à prendre leur place dans l’écosystème blockchain. La stratégie est de rentrer intelligemment dans l’écosystème pour le faire évoluer de l’intérieur (d’où le nom : @LesHackeuses).,Entre la boutique de plante et la tête de l’avion.,,,
,6,party,DJ set,fa-music,2020-01-08T20:00:00+02:00,2020-01-08T00:30:00+02:00,,La Cuniculaire,DJ Set Hiphop/Soul/Funk,,Dans l'avion !,,,
jeudi 9,1,stand,stand,fa-flag,TBA,TBA,FR ,Les Hackeuses,Atelier d'initiation à la cryptomonnaie pour les femmes,@LesHackeuses et leurs complices soutiennent la volonté des femmes à prendre leur place dans l’écosystème blockchain. La stratégie est de rentrer intelligemment dans l’écosystème pour le faire évoluer de l’intérieur (d’où le nom : @LesHackeuses).,Entre la boutique de plante et la tête de l’avion.,,,
,2,stand,stand,fa-flag,2020-01-09T18:00:00+02:00,2020-01-09T22:00:00+02:00,FR/EN,Artiste Fasto,P2P Painting - Experiment Peer-painting with friends,"Fresques participatives et ateliers dessins/peintures avec l'artiste Fasto, accessibles aux enfants comme aux adultes

",TBA,,,
,3,stand,stand,fa-flag,TBA,TBA,FR/EN,Monnaie Libre ,"Stand d'information sur les monnaies libres (G1, Duniter, Axiom Team)","Stand d'information sur les monnaies libres (G1, Duniter, Axiom Team)",TBA,,,
,4,meet-up,meet-up,fa-glass-cheers,2020-01-09T18:00:00+02:00,2020-01-09T22:00:00+02:00,FR,Monnaie Libre ,Présentation grand public de la Monnaie Libre,"Attilax & Paulart de la Toile Francilienne vous proposent une présentation générale mais complète sur le changement de paradigme qu'est la Monnaie Libre. D""où sort-elle ? Comment est-elle née et pourquoi ? Quel est son fonctionnement et qu'est-ce qui la rend si défférentes de toutes les monnaies existantes jusqu'alors ? Réponse ce soir au Ground Control !""",Espace P2P Mensuel,,,
